Show Date	Artist	Ticket Cost	Food & Bev	Parking	Merch	Artist Interaction	Show Total	Notes
2026-01-11	Ana Popovic	$65.58	$0.00	$9.45	$0.00	Autograph	$75.03	Dance To The Rhythm Tour; matinee
2026-01-31	Kingsley Flood	$33.67	$0.00	$0.00	$0.00		$33.67	
2026-02-14	Vanessa Collier	$60.06	$0.00	$9.45	$0.00	Autograph	$69.51	4-ticket order split evenly
2026-02-19	Mohini Dey	$48.70	$0.00	$0.00	$0.00	Photo	$48.70	Hat autograph: Mohini Dey
2026-02-21	Matteo Mancuso	$54.11	$0.00	$13.00	$0.00	Photo	$67.11	Route96 Tour
2026-02-23	Billy Gibbons	$450.30	$0.00	$0.00	$0.00	Photo	$450.30	Birthday; VIP Meet & Greet
2026-03-07	Albert Castiglia	$53.36	$0.00	$9.45	$0.00	Photo	$62.81	Matinee; ticket bartered with friend
2026-03-11	Sue Foley	$48.45	$0.00	$13.00	$0.00	Photo	$61.45	
2026-03-18	Taj Farrant	$96.14	$5.00	$9.45	$30.00	Autograph	$140.59	M&G add-on via AXS
2026-03-20	Danielle Nicole	$42.52	$7.00	$13.00	$35.00	Both	$97.52	
2026-03-21	ZZ Ward	$236.90	$13.00	$0.00	$20.00	Both	$269.90	VIP; merch: last 2 LPs + poster + lanyard
2026-03-28	Joanne Shaw Taylor	$120.75	$10.00	$9.45	$0.00	Photo	$140.20	Sold 1 of 2 tickets via AXS resale ($101.75 payout)
2026-03-29	Selwyn Birchwood	$34.39	$24.00	$0.00	$21.00	Both	$79.39	RHBS signed; CD & sticker merch
