artist	handle	channel_title	score	channel_url
Albert Castiglia	@albertcastiglia5751	Albert Castiglia	1.0000	https://youtube.com/@albertcastiglia5751
Ana Popović	@anapopovicmusic	Ana Popovic Music	1.0000	https://youtube.com/@anapopovicmusic
Avett Brothers, The	@theavettbrothers	The Avett Brothers	1.0000	https://youtube.com/@theavettbrothers
Beck	@beck	Beck	1.0000	https://youtube.com/@beck
Bonnie Raitt	@bonnieraittonmv	Bonnie Raitt on MV	1.0000	https://youtube.com/@bonnieraittonmv
Brittany Howard	@brittanyhowardofficial	Brittany Howard	1.0000	https://youtube.com/@brittanyhowardofficial
Brittney Spencer	@brittneyspencer	Brittney Spencer	1.0000	https://youtube.com/@brittneyspencer
David Moore	@davidmoore1544	David Moore	1.0000	https://youtube.com/@davidmoore1544
DuPont Brass	@dupontbrass	DuPont Brass	1.0000	https://youtube.com/@dupontbrass
Gaelic Storm	@gaelicstormvideos	Gaelic Storm	1.0000	https://youtube.com/@gaelicstormvideos
Galactic	@galacticyakamay	Galactic	1.0000	https://youtube.com/@galacticyakamay
Gary Clark Jr.	@kossimensah56	Gary Clark Jr	1.0000	https://youtube.com/@kossimensah56
Greensky Bluegrass	@greenskybluegrass	Greensky Bluegrass	1.0000	https://youtube.com/@greenskybluegrass
Indigo Girls	@indigogirlsmusic	The Indigo Girls	1.0000	https://youtube.com/@indigogirlsmusic
J. P. Soars	@jpsoarsguitar	JP Soars	1.0000	https://youtube.com/@jpsoarsguitar
Jake Blount	@jakemblount	Jake Blount	1.0000	https://youtube.com/@jakemblount
Jax Hollow	@jaxhollow	Jax Hollow	1.0000	https://youtube.com/@jaxhollow
Jessie's Girl	@jessiesgirl	JESSIE'S GIRL	1.0000	https://youtube.com/@jessiesgirl
Jimmie Vaughan	@jimmievaughan-official7937	Jimmie Vaughan - Official	1.0000	https://youtube.com/@jimmievaughan-official7937
Joan Jett & The Blackhearts	@joanjett	Joan Jett and the Blackhearts	1.0000	https://youtube.com/@joanjett
Joe Bonamassa	@joebonamassa4309	Joe Bonamassa	1.0000	https://youtube.com/@joebonamassa4309
John Hiatt	@johnhiatt	John Hiatt	1.0000	https://youtube.com/@johnhiatt
LL Cool J	@llcoolj	LL COOL J	1.0000	https://youtube.com/@llcoolj
Langhorne Slim	@langhorneslimofficial	Langhorne Slim	1.0000	https://youtube.com/@langhorneslimofficial
Līve	@live	Live	1.0000	https://youtube.com/@live
Liz Phair	@lizphairofficial	Liz Phair	1.0000	https://youtube.com/@lizphairofficial
Los Lobos	@loslobos	Los Lobos	1.0000	https://youtube.com/@loslobos
Lucky Chops	@luckychops	Lucky Chops	1.0000	https://youtube.com/@luckychops
Lyle Lovett	@lylelovett	Lyle Lovett	1.0000	https://youtube.com/@lylelovett
Mike Zito	@mikezitoofficial	Mike Zito Official	1.0000	https://youtube.com/@mikezitoofficial
Muireann Bradley	@muireannbradley	Muireann Bradley	1.0000	https://youtube.com/@muireannbradley
Nas	@nasvevo	NasVEVO	1.0000	https://youtube.com/@nasvevo
New York's Finest	@powerfulmusic1	New York's Finest	1.0000	https://youtube.com/@powerfulmusic1
Pietasters, The	@thepietasters5643	The Pietasters	1.0000	https://youtube.com/@thepietasters5643
Pixies	@pixiesofficialtv	PixiesOfficial	1.0000	https://youtube.com/@pixiesofficialtv
Pretenders	@thepretenders	Pretenders	1.0000	https://youtube.com/@thepretenders
Rhiannon Giddens	@rhiannongiddens	Rhiannon Giddens	1.0000	https://youtube.com/@rhiannongiddens
Rival Sons	@rivalsons	Rival Sons	1.0000	https://youtube.com/@rivalsons
Roger Waters	@rogerwaters	Roger Waters	1.0000	https://youtube.com/@rogerwaters
Tori Amos	@toriamos	Tori Amos	1.0000	https://youtube.com/@toriamos
ZZ Top	@zztop	ZZ Top	1.0000	https://youtube.com/@zztop
Allman Betts Band, The	@theallmanbettsband	The Allman Betts Band	0.7500	https://youtube.com/@theallmanbettsband
Elvis Costello & The Imposters	@elviscostello	Elvis Costello	0.7500	https://youtube.com/@elviscostello
Honeyfunk	https://www.youtube.com/channel/UCLT8XWt-Mrkz0FNRofHZrlQ	Honeyfunk - Topic	0.7500	https://www.youtube.com/channel/UCLT8XWt-Mrkz0FNRofHZrlQ
Robert Cray Band, The	@therobertcrayband1035	The Robert Cray Band	0.7500	https://youtube.com/@therobertcrayband1035
Samantha Fish & Jesse Dayton	@samanthafish3245	Samantha Fish	0.7500	https://youtube.com/@samanthafish3245
